latitude,longitude,sub-district,traffic_density
40.6847914508,-74.0219117257278,24.0,20241.0
40.685139176,-74.02113737184666,24.0,20241.0
40.685550278,-74.02023618111916,24.0,20241.0
40.685823683,-74.02587242202199,24.0,20241.0
40.6859942566,-74.0258882415511,24.0,20241.0
40.686213078,-74.02178562166512,24.0,20241.0
40.686688464,-74.02351473722369,24.0,20241.0
40.686990005,-74.01704692111952,24.0,20241.0
40.687245382,-74.02401058816774,24.0,20241.0
40.687398542,-74.01616495096428,24.0,20241.0
40.68762992,-74.01635375386405,24.0,20241.0
40.687699555,-74.01784287373991,24.0,20241.0
40.687908362,-74.02336591546069,24.0,20241.0
40.688168266,-74.02316327753604,24.0,20241.0
40.688181816,-74.01490398403172,24.0,20241.0
40.6883029255,-74.0165006238799,24.0,20241.0
40.688690751,-74.01896509829042,24.0,20241.0
40.689231762,-74.01919154425931,24.0,20241.0
40.689749265,-74.02029954474362,24.0,20241.0
40.689938447,-74.01811489380162,24.0,20241.0
40.6907781051,-74.0213608406252,24.0,20241.0
40.691026497,-74.01260737018482,24.0,20241.0
40.691262234,-74.02018744549781,24.0,20241.0
40.691266628,-74.01276602895439,24.0,20241.0
40.691833942,-74.01835580778605,24.0,20241.0
40.6920838258,-74.0183061531098,24.0,20241.0
40.692533926,-74.01410267165936,24.0,20241.0
40.692791708,-74.01542782131224,24.0,20241.0
40.693146928,-74.01879708622153,24.0,20241.0
40.6989737894,-74.0397030187602,24.0,37154.0
40.701133021,-74.01372314441093,24.0,27840.0
40.701200356,-74.01374768342369,24.0,27840.0
40.701807024,-74.00998302289536,24.0,33308.0
40.701903563,-74.00993626308046,24.0,42717.0
40.701990377,-74.01584079939174,24.0,37282.0
40.702196132,-74.00938127713896,24.0,42717.0
40.70227493645,-74.013045796375,24.0,11419.0
40.702686532,-74.01231160768083,24.0,2817.0
40.70308727,-74.00589941745793,24.0,42068.0
40.703099516,-74.0129978382912,24.0,2376.0
40.703578684,-74.01159382696616,24.0,3629.0
40.7035987827,-74.0143917690023,24.0,7764.0
40.703695013,-74.01064454774598,24.0,3629.0
40.703750383,-74.00704712676601,24.0,5236.0
40.7040848277,-74.0089875528631,24.0,4923.0
40.70411332,-74.01673615209256,24.0,37841.0
40.704140707,-74.01070637443443,24.0,3629.0
40.704269268,-74.02085081939283,24.0,6126.0
40.704545914,-74.01006968341342,24.0,3838.0
40.704553496,-74.01326979484504,24.0,5328.0
40.704721157,-74.01155838499058,24.0,5328.0
40.704730999,-74.01706855731072,24.0,8519.0
40.704775247,-74.00974639311217,24.0,4923.0
40.704824243,-74.00689991891616,24.0,5916.0
40.704898336,-74.01753024981669,24.0,6126.0
40.70497664,-74.01670727423507,24.0,5468.0
40.705002761,-74.01262946733641,24.0,4628.0
40.705147733,-74.00998418601552,24.0,4923.0
40.705543124,-74.00906648911297,24.0,5916.0
40.705800043,-74.01699521616094,24.0,12728.0
40.705948436,-74.01500328675284,24.0,15323.0
40.70601231,-74.00881270660075,24.0,5916.0
40.706140366,-74.01461987114978,24.0,1921.0
40.706174865,-74.01793061274537,24.0,12728.0
40.706233508,-74.01500255466327,24.0,15323.0
40.706237207,-74.01433649678438,24.0,3115.0
