40.693462,-73.965485,2021_04_16_00:00:00
40.66725,-73.88799,2021_04_15_00:00:00
40.844105,-73.923065,2021_04_13_00:00:00
40.651707,-73.93121,2021_04_16_00:00:00
40.680496,-73.821365,2021_04_15_00:00:00
40.834415,-73.92854,2021_04_15_00:00:00
40.7357,-73.90377,2021_04_15_00:00:00
40.771038,-73.83413,2021_04_15_00:00:00
40.69484,-73.98391,2021_04_14_00:00:00
40.785774,-73.97052,2021_04_14_00:00:00
40.733017,-73.8852,2021_04_14_00:00:00
40.709023,-73.757835,2021_04_16_00:00:00
40.692886,-73.832184,2021_04_14_00:00:00
40.620487,-74.029305,2021_04_15_00:00:00
40.618595,-73.99847,2021_04_14_00:00:00
40.803787,-73.953896,2021_04_14_00:00:00
40.82319,-73.889496,2021_04_15_00:00:00
40.680088,-73.94398,2021_04_14_00:00:00
40.827927,-73.90094,2021_04_14_00:00:00
40.66895,-73.9339,2021_04_14_00:00:00
40.879055,-73.87439,2021_04_15_00:00:00
40.67043,-73.928185,2021_04_14_00:00:00
40.875874,-73.84989,2021_04_16_00:00:00
40.675037,-73.930534,2021_04_13_00:00:00
40.767582,-73.9109,2021_04_16_00:00:00
40.734352,-74.00849,2021_04_14_00:00:00
40.63083,-73.90736,2021_04_16_00:00:00
40.63532,-73.95033,2021_04_14_00:00:00
40.714073,-73.95087,2021_04_13_00:00:00
40.702194,-73.93587,2021_04_14_00:00:00
40.764362,-73.96162,2021_04_14_00:00:00
40.69496,-73.946236,2021_04_12_00:00:00
40.79656,-73.97226,2021_04_16_00:00:00
40.805016,-73.92109,2021_04_14_00:00:00
40.66406,-73.73846,2021_04_14_00:00:00
40.7963,-73.93829,2021_04_13_00:00:00
40.66563,-73.73921,2021_04_14_00:00:00
40.680477,-73.7921,2021_04_15_00:00:00
40.737785,-73.93496,2021_04_16_00:00:00
40.778606,-73.98163,2021_04_16_00:00:00
40.75868,-73.87552,2021_04_16_00:00:00
40.856045,-73.90079,2021_04_14_00:00:00
40.880257,-73.843864,2021_04_14_00:00:00
40.60677,-73.759575,2021_04_15_00:00:00
40.695683,-73.741875,2021_04_16_00:00:00
40.667236,-73.770004,2021_04_16_00:00:00
40.8351,-73.8825,2021_04_14_00:00:00
40.633682,-73.89868,2021_04_15_00:00:00
40.698116,-73.977325,2021_04_14_00:00:00
40.84747,-73.89134,2021_04_16_00:00:00
40.8047,-73.91243,2021_04_14_00:00:00
40.762676,-73.954346,2021_04_16_00:00:00
40.7158,-73.824486,2021_04_16_00:00:00
40.75584,-73.99238,2021_04_15_00:00:00
40.772102,-73.763954,2021_04_15_00:00:00
40.681602,-73.95855,2021_04_14_00:00:00
40.62677,-73.946884,2021_04_15_00:00:00
40.707493,-73.94153,2021_04_14_00:00:00
40.8252,-73.867714,2021_04_15_00:00:00
40.854115,-73.89091,2021_04_12_00:00:00
40.768875,-73.94898,2021_04_16_00:00:00
40.629707,-73.90486,2021_04_16_00:00:00
40.72654,-73.71589,2021_04_15_00:00:00
40.634415,-74.08535,2021_04_15_00:00:00
40.66937,-73.89523,2021_04_15_00:00:00
40.89466,-73.86137,2021_04_16_00:00:00
40.669067,-73.9878,2021_04_16_00:00:00
40.681484,-73.85049,2021_04_15_00:00:00
40.82433,-73.874374,2021_04_14_00:00:00
40.856606,-73.92841,2021_04_14_00:00:00
40.65785,-73.91648,2021_04_08_00:00:00
40.62764,-73.89022,2021_04_14_00:00:00
40.58401,-73.98587,2021_04_09_00:00:00
40.71791,-73.95341,2021_04_14_00:00:00
40.780437,-73.94989,2021_04_15_00:00:00
40.73973,-73.70625,2021_04_14_00:00:00
40.7952,-73.94623,2021_04_05_00:00:00
40.694794,-73.98246,2021_04_14_00:00:00
40.614063,-74.01393,2021_04_16_00:00:00
40.633152,-73.97762,2021_04_16_00:00:00
40.612736,-74.01172,2021_04_16_00:00:00
40.70166,-73.961464,2021_04_15_00:00:00
40.80641,-73.94227,2021_04_14_00:00:00
40.762234,-73.98987,2021_04_14_00:00:00
40.863647,-73.8918,2021_04_15_00:00:00
40.576626,-73.98478,2021_04_15_00:00:00
40.60118,-73.99098,2021_04_14_00:00:00
40.64721,-74.01531,2021_04_14_00:00:00
40.681145,-73.7923,2021_04_15_00:00:00
40.57529,-73.97655,2021_04_15_00:00:00
40.786,-73.84574,2021_04_16_00:00:00
40.601128,-73.997086,2021_04_15_00:00:00
40.827923,-73.93483,2021_04_15_00:00:00
40.805824,-73.954636,2021_04_05_00:00:00
