road1,road2,intersection latitude,intersection longitude
HENRY HUDSON PKWY,HENRY HUDSON PARKWAY ET 11 NB,40.795958581564186,-73.97661095109142
HENRY HUDSON PKWY,HENRY HUDSON PKWY NB ET 10 B,40.78574119004824,-73.98385117742065
HENRY HUDSON PKWY,HENRY HUDSON PY SB EN W 79 ST,40.78365538917994,-73.98532135346309
HENRY HUDSON PKWY,HENRY HUDSON PY NB EN W 96 ST,40.79725392101745,-73.97577618844696
12 AVE,RIVERSIDE DR,40.82062577328633,-73.95841449205317
11 AVE,W 17 ST,40.74470264365424,-74.00834732065786
11 AVE,W 18 ST,40.74541628917924,-74.00819944474085
11 AVE,W 23 ST,40.74889121888955,-74.0070233062315
11 AVE,W 16 ST,40.744024682273455,-74.00845910960537
11 AVE,W 19 ST,40.74611071892257,-74.00808404386694
11 AVE,W 24 ST,40.74955273223973,-74.00652892452881
11 AVE,W 15 ST,40.74321222472387,-74.00861418446934
11 AVE,W 22 ST,40.74821049223167,-74.00748519439084
11 AVE,W 20 ST,40.746813383476955,-74.00795781461353
11 AVE,W 21 ST,40.74753526130844,-74.0078279759307
WEST ST,HOLLAND TUNNEL EXIT,40.725725192231096,-74.01103639537962
WEST ST,WATTS ST,40.724275929539345,-74.01135363876189
WEST ST,HOLLAND TUNNEL ENTRANCE,40.7260957406191,-74.01097151518879
WEST ST,CHARLES ST,40.733822296401335,-74.01021865633174
WEST ST,CANAL ST,40.72579381219197,-74.01102558319985
WEST ST,JANE ST,40.738145331710435,-74.00964917369461
WEST ST,BARROW ST,40.732021722105685,-74.01039157309623
WEST ST,W 10 ST,40.733152570631795,-74.01028350206072
WEST ST,N MOORE ST,40.72031790486859,-74.01216827113397
WEST ST,CHRISTOPHER ST,40.73238403327924,-74.01035193934565
WEST ST,PERRY ST,40.73457436436351,-74.01015743017027
WEST ST,VESTRY ST,40.722980379065426,-74.01160234904819
WEST ST,W 12 ST,40.73756616596402,-74.00991972622344
WEST ST,CLARKSON ST,40.72982589901539,-74.0106004985172
WEST ST,LEROY ST,40.73056973596837,-74.01051041418322
WEST ST,GANSEVOORT ST,40.73938044526443,-74.00994164783918
WEST ST,LITTLE W 12 ST,40.740700751305155,-74.0089602906522
WEST ST,DESBROSSES ST,40.72363089969506,-74.01147258399033
WEST ST,BETHUNE ST,40.73696780709367,-74.00995211321829
WEST ST,MORTON ST,40.73129984540198,-74.01046001529778
WEST ST,BANK ST,40.73600164686845,-74.01003496212653
WEST ST,LAIGHT ST,40.72232436724448,-74.01174654124661
WEST ST,W 14 ST,40.74237506246574,-74.00879090477447
WEST ST,HARRISON ST,40.719058031089986,-74.0124422098453
WEST ST,HUBERT ST,40.72163816284153,-74.01189072521956
WEST ST,CHARLES LN,40.73421479939766,-74.01018263348602
WEST ST,HORATIO ST,40.7387354567434,-74.00960956512105
WEST ST,BLOOMFIELD ST,40.74050859123839,-74.00930669470286
WASHINGTON ST,HOLLAND TUNNEL EXIT,40.725044581088,-74.01006939029354
WASHINGTON ST,WATTS ST,40.72416898980878,-74.01022439167535
WASHINGTON ST,HOLLAND TUNNEL ENTRANCE,40.725986045598184,-74.0099216103554
WASHINGTON ST,CHARLES ST,40.73409416743524,-74.00849032360021
WASHINGTON ST,CANAL ST,40.72524494962408,-74.01005498929561
WASHINGTON ST,JANE ST,40.73814270243926,-74.00815524744827
WASHINGTON ST,BARROW ST,40.73187363933167,-74.00878230301771
WASHINGTON ST,W 10 ST,40.73339973987756,-74.0085551837933
WASHINGTON ST,CHRISTOPHER ST,40.732642181784925,-74.00863446734265
WASHINGTON ST,PERRY ST,40.73481329687901,-74.00843629018752
WASHINGTON ST,VESTRY ST,40.72285971993222,-74.0104514752239
WASHINGTON ST,W 12 ST,40.7375525770868,-74.00820569400378
WASHINGTON ST,CLARKSON ST,40.72970524956423,-74.00920776828471
WASHINGTON ST,LEROY ST,40.730435365368315,-74.00907076140037
WASHINGTON ST,SPRING ST,40.726071134303496,-74.00990719157173
WASHINGTON ST,W HOUSTON ST,40.72898885700987,-74.00934838211221
WASHINGTON ST,GANSEVOORT ST,40.739375103468504,-74.00805074937735
WASHINGTON ST,LITTLE W 12 ST,40.74029734778069,-74.00793899318337
WASHINGTON ST,DESBROSSES ST,40.72351298209058,-74.01034334593864
WASHINGTON ST,BETHUNE ST,40.7369597071695,-74.00825253087312
WASHINGTON ST,MORTON ST,40.73115450247594,-74.00892653376555
WASHINGTON ST,BANK ST,40.736191172212024,-74.00831017026138
WASHINGTON ST,LAIGHT ST,40.722200968098015,-74.01055960151959
WASHINGTON ST,W 13 ST,40.74094239502266,-74.00748076918232
WASHINGTON ST,W 14 ST,40.74162586996561,-74.00697201848594
WASHINGTON ST,HUBERT ST,40.721523001456035,-74.01068215306907
WASHINGTON ST,CHARLES LN,40.7344756903313,-74.00846150566964
WASHINGTON ST,HORATIO ST,40.738757530489345,-74.00810480300404
STONE ST,HANOVER SQ,40.704774549085364,-74.00974533129346
STONE ST,COENTIES ALY,40.70414042320939,-74.01070461441716
STONE ST,MILL LN,40.70454670567869,-74.0100699008066
BROADWAY,CORTLANDT ST,40.70980568026915,-74.009987734673
BROADWAY,EXCHANGE PL,40.70676698087217,-74.01250844527229
BROADWAY,PARK ROW,40.7119934041417,-74.00810154868941
BROADWAY,DUANE ST,40.71523512499903,-74.00541812909766
BROADWAY,THOMAS ST,40.71575939433197,-74.00497447323234
BROADWAY,BARCLAY ST,40.7119934041417,-74.00810154868941
BROADWAY,LIBERTY ST,40.709155121919274,-74.01054310709064
BROADWAY,CHAMBERS ST,40.71416462280691,-74.0063090250317
